municipio_norm,municipio,comarca_mapa
SANTA CECILIA,Santa Cecília,Umbuzeiro
SANTA CRUZ,Santa Cruz,Sousa
SANTA HELENA,Santa Helena,São João do Rio do Peixe
SANTA INES,Santa Inês,Conceição
SANTA LUZIA,Santa Luzia,Santa Luzia
SANTA RITA,Santa Rita,Santa Rita
SANTA TERESINHA,Santa Teresinha,Patos
SANTANA DE MANGUEIRA,Santana de Mangueira,Conceição
SANTANA DOS GARROTES,Santana dos Garrotes,Piancó
SANTO ANDRE,Santo André,Juazeirinho
SAO BENTINHO,São Bentinho,Pombal
SAO BENTO,São Bento,São Bento
SAO DOMINGOS,São Domingos,Pombal
SAO DOMINGOS DO CARIRI,São Domingos do Cariri,Boqueirão
SAO FRANCISCO,São Francisco,Sousa
SAO JOAO DO CARIRI,São João do Cariri,Serra Branca
SAO JOAO DO RIO DO PEIXE,São João do Rio do Peixe,São João do Rio do Peixe
SAO JOAO DO TIGRE,São João do Tigre,Monteiro
SAO JOSE DA LAGOA TAPADA,São José da Lagoa Tapada,Sousa
SAO JOSE DE CAIANA,São José de Caiana,Itaporanga
SAO JOSE DE ESPINHARAS,São José de Espinharas,Patos
SAO JOSE DE PIRANHAS,São José de Piranhas,São José de Piranhas
SAO JOSE DE PRINCESA,São José de Princesa,Princesa Isabel
SAO JOSE DO BONFIM,São José do Bonfim,Patos
SAO JOSE DO BREJO DO CRUZ,São José do Brejo do Cruz,Catolé do Rocha
SAO JOSE DO SABUGI,São José do Sabugi,Santa Luzia
SAO JOSE DOS CORDEIROS,São José dos Cordeiros,Serra Branca
SAO JOSE DOS RAMOS,São José dos Ramos,Itabaiana
SAO MAMEDE,São Mamede,Patos
SAO MIGUEL DE TAIPU,São Miguel de Taipu,Itabaiana
SAO SEBASTIAO DE LAGOA DE ROCA,São Sebastião de Lagoa de Roça,Esperança
SAO SEBASTIAO DO UMBUZEIRO,São Sebastião do Umbuzeiro,Monteiro
SAO VICENTE DO SERIDO,São Vicente do Seridó,Soledade
SAPE,Sapé,Sapé
SERRA BRANCA,Serra Branca,Serra Branca
SERRA DA RAIZ,Serra da Raiz,Guarabira
SERRA GRANDE,Serra Grande,Itaporanga
SERRA REDONDA,Serra Redonda,Ingá
SERRARIA,Serraria,Bananeiras
SERTAOZINHO,Sertãozinho,Guarabira
SOBRADO,Sobrado,Sapé
SOLANEA,Solânea,Solânea
SOLEDADE,Soledade,Soledade
SOSSEGO,Sossêgo,Soledade
SOUSA,Sousa,Sousa
SUME,Sumé,Sumé
TACIMA,Tacima,Araruna
TAPEROA,Taperoá,Taperoá
TAVARES,Tavares,Princesa Isabel
TEIXEIRA,Teixeira,Teixeira
TENORIO,Tenório,Juazeirinho
TRIUNFO,Triunfo,São João do Rio do Peixe
UIRAUNA,Uiraúna,Sousa
UMBUZEIRO,Umbuzeiro,Umbuzeiro
VARZEA,Várzea,Santa Luzia
VIEIROPOLIS,Vieirópolis,Sousa
VISTA SERRANA,Vista Serrana,Patos
ZABELE,Zabelê,Monteiro
CAMPO DE SANTANA,Campo De Santana,Araruna
SANTAREM,Santarem,Sousa
SERIDO,Serido,Soledade
